,with_holiday,without_holiday
0,0.0,-3.016353072927649
1,0.0,-4.61034375268917
2,-0.3470075559554,-4.25
3,-1.4959561956725886,-1.8264304170540224
4,-1.8311920712391536,-1.6092994858821232
5,-1.8883129382361463,-1.8580324575304985
6,-1.9287495666623944,-1.848731631273106
7,-2.459780693054199,-1.894721508026123
8,-2.94223952293396,-4.808528542518616
9,-3.1155726272861166,-5.446751038233439
10,-5.702340947056459,-6.800311618362474
11,-6.980968326330185,-5.853765154878299
12,-1.0,-1.240739918273448e-05
13,-0.5,-9.59208962151844
14,-6.84902612013947,-9.385892873024993
15,-11.225195289581618,-8.821432576439163
16,0.0,0.0
17,0.0,0.0
18,-0.08333333333333333,-0.08333333333333333
19,-0.16666666666666666,-0.16666666666666666
20,-0.3333333333333333,-0.3333333333333333
21,-0.3229166666666667,-0.3229166666666667
22,-0.3125,-0.3125
23,-0.9966152310371399,-1.75
24,-1.2837568819522858,-1.536114826798439
25,-1.3366324504216511,-1.6025356153647106
26,-1.19848472883028,-1.2698783030112584
27,-1.4788753042618434,-4.227657775084178
28,-6.122248514373041e-06,-0.24354076385498047
29,-0.31739016532897946,-0.3566899299621582
30,-1.3811176618417869,-1.5545384883880615
31,-1.5498159329096475,-2.3359220027923584
